iter	Passed	Remaining
0	17	17225
1	29	14542
2	41	13936
3	55	13777
4	65	13058
5	78	12966
6	89	12687
7	99	12362
8	122	13518
9	133	13243
10	144	13007
11	154	12717
12	164	12497
13	175	12340
14	186	12248
15	198	12187
16	207	12005
17	221	12085
18	239	12390
19	250	12264
20	263	12278
21	281	12536
22	293	12465
23	307	12501
24	318	12416
25	329	12328
26	343	12375
27	353	12258
28	364	12205
29	375	12134
30	385	12039
31	395	11952
32	407	11936
33	418	11898
34	428	11812
35	439	11768
36	451	11759
37	463	11734
38	474	11685
39	487	11689
40	497	11638
41	509	11626
42	520	11579
43	530	11528
44	540	11467
45	558	11576
46	572	11601
47	584	11588
48	608	11803
49	618	11752
50	629	11711
51	643	11736
52	654	11691
53	679	11912
54	691	11883
55	701	11828
56	712	11782
57	722	11726
58	731	11674
59	741	11619
60	752	11580
61	762	11538
62	773	11502
63	783	11453
64	793	11416
65	804	11378
66	814	11344
67	825	11313
68	835	11271
69	845	11236
70	865	11322
71	880	11347
72	896	11378
73	906	11338
74	915	11296
75	926	11262
76	936	11226
77	947	11198
78	957	11167
79	967	11127
80	977	11095
81	988	11069
82	1000	11049
83	1010	11014
84	1020	10988
85	1034	10995
86	1044	10966
87	1055	10935
88	1067	10924
89	1077	10896
90	1089	10885
91	1099	10853
92	1110	10831
93	1120	10803
94	1130	10774
95	1140	10741
96	1151	10716
97	1161	10686
98	1171	10663
99	1181	10636
100	1192	10617
101	1203	10593
102	1213	10565
103	1224	10553
104	1237	10545
105	1247	10517
106	1257	10496
107	1272	10511
108	1284	10499
109	1294	10475
110	1310	10494
111	1320	10471
112	1335	10486
113	1352	10509
114	1374	10577
115	1398	10653
116	1412	10661
117	1433	10714
118	1464	10844
119	1495	10964
120	1527	11097
121	1562	11246
122	1582	11284
123	1602	11321
124	1614	11303
125	1630	11309
126	1659	11404
127	1676	11420
128	1707	11530
129	1729	11573
130	1748	11600
131	1758	11565
132	1768	11528
133	1780	11506
134	1792	11487
135	1803	11458
136	1814	11432
137	1829	11426
138	1839	11395
139	1850	11369
140	1862	11346
141	1874	11324
142	1886	11306
143	1895	11268
144	1906	11242
145	1918	11221
146	1928	11189
147	1938	11157
148	1952	11153
149	1962	11121
150	1973	11093
151	1983	11064
152	1993	11035
153	2003	11008
154	2013	10978
155	2024	10955
156	2035	10931
157	2046	10904
158	2058	10887
159	2068	10859
160	2078	10832
161	2090	10811
162	2100	10785
163	2110	10760
164	2120	10733
165	2131	10708
166	2140	10676
167	2150	10649
168	2164	10640
169	2182	10657
170	2193	10633
171	2203	10606
172	2213	10580
173	2223	10554
174	2234	10531
175	2243	10505
176	2254	10480
177	2267	10472
178	2278	10448
179	2288	10425
180	2299	10404
181	2309	10379
182	2319	10356
183	2329	10331
184	2339	10307
185	2349	10284
186	2361	10265
187	2373	10251
188	2383	10228
189	2394	10207
190	2404	10183
191	2416	10170
192	2430	10162
193	2440	10141
194	2451	10119
195	2463	10103
196	2474	10084
197	2484	10062
198	2493	10038
199	2504	10016
200	2514	9994
201	2524	9972
202	2534	9950
203	2545	9932
